,features,importance_vals
276,R-HSA-163560,0.059176249521551656
7,R-HSA-380270,0.045199586992966945
38,R-HSA-5693616,0.04024517748563085
507,R-HSA-3232118,0.0362790758421761
319,R-HSA-1650814,0.03342635343782604
133,R-HSA-422085,0.03199029140057973
0,R-HSA-1989781,0.03065633911639452
278,R-HSA-193368,0.02943343431339599
280,R-HSA-163615,0.02859552640846232
250,R-HSA-977068,0.027581505296984686
173,R-HSA-73762,0.027276451499637915
139,R-HSA-2022928,0.027071240156074053
494,R-HSA-2453902,0.026980799243028743
12,R-HSA-5620912,0.026974712836090476
95,R-HSA-114604,0.026859652111306788
327,R-HSA-1483191,0.026786960462341084
492,R-HSA-5696400,0.02658233363297768
497,R-HSA-1799339,0.02651147551718168
496,R-HSA-156902,0.02617477597668767
446,R-HSA-168276,0.026093151646200567
124,R-HSA-381676,0.025364226714009418
362,R-HSA-72689,0.02518182902946137
182,R-HSA-76071,0.025006088472437113
575,R-HSA-1251985,0.024995464188978075
571,R-HSA-373752,0.024762564812554046
312,R-HSA-174800,0.023762582600465976
953,hsa.mir.5684,0.023021786126773806
297,R-HSA-176409,0.022724617553467396
561,R-HSA-5223345,0.022532253599492832
132,R-HSA-381340,0.022004889625968645
364,R-HSA-72702,0.021917346600675954
533,R-HSA-420092,0.02131493643275462
41,R-HSA-109688,0.02112037400365807
113,R-HSA-416482,0.020935546763066668
325,R-HSA-5663220,0.020695290166186167
102,R-HSA-373753,0.02011152935825521
320,R-HSA-204005,0.019790245075710117
478,R-HSA-180024,0.019673692946125813
82,R-HSA-3928665,0.019665930807823317
13,R-HSA-5673001,0.019552353997132742
31,R-HSA-5578775,0.019247232664201874
315,R-HSA-5576894,0.019219893292465713
441,R-HSA-2122948,0.018937397865811362
442,R-HSA-2691232,0.018753771963092733
266,R-HSA-2672351,0.018647756093996576
410,R-HSA-5693571,0.01847892357967794
772,hsa.mir.363,0.018353798589087093
80,R-HSA-2682334,0.018114813048741782
301,R-HSA-445095,0.017937829536385834
101,R-HSA-2730905,0.01793059249513135
235,R-HSA-69231,0.017741278731264173
128,R-HSA-1482801,0.017700428170574014
510,R-HSA-936964,0.017616367891896516
307,R-HSA-5687128,0.01735585442791489
426,R-HSA-4641263,0.017354868821566925
407,R-HSA-977225,0.01695811518759001
148,R-HSA-5678895,0.016911014004290337
569,R-HSA-5099900,0.016869506934599484
661,hsa.mir.187,0.016832486985949798
214,R-HSA-194840,0.016584423373569735
118,R-HSA-418597,0.016571989087678957
690,hsa.mir.224,0.016547469825600274
229,R-HSA-2894862,0.01642143209115602
59,R-HSA-611105,0.016397171971038915
902,hsa.mir.4802,0.016135479973090696
408,R-HSA-1221632,0.015848651246051303
137,R-HSA-983231,0.015680696206400172
199,R-HSA-5601884,0.01557590977405198
150,R-HSA-3214841,0.01546053399099037
360,R-HSA-156827,0.015446249375818297
141,R-HSA-1169091,0.0153731290117139
659,hsa.mir.184,0.015339047215529717
219,R-HSA-193648,0.015319847762875725
509,R-HSA-352230,0.015245297684632533
74,R-HSA-212300,0.015224996812758036
210,R-HSA-162588,0.01522478759958176
14,R-HSA-1474228,0.01518546435792814
131,R-HSA-1483166,0.01516499264180311
27,R-HSA-77387,0.01512370668735457
295,R-HSA-176407,0.015013641420955537
367,R-HSA-109704,0.015001992031466216
284,R-HSA-379716,0.014838642397080548
608,hsa.mir.1247,0.014455167646810879
193,R-HSA-167242,0.014446735904784873
35,R-HSA-176187,0.014429473968048114
409,R-HSA-171306,0.014231585622837883
927,hsa.mir.511,0.014215795157215326
254,R-HSA-168638,0.014207247896829358
842,hsa.mir.452,0.014174432205036282
50,R-HSA-5693579,0.014166891984204994
488,R-HSA-5655862,0.014144441501266557
460,R-HSA-1296041,0.014111784601118416
175,R-HSA-73777,0.013965600041265134
52,R-HSA-380108,0.013963426878472091
114,R-HSA-112043,0.01392699623858789
527,R-HSA-111447,0.013914008700812702
61,R-HSA-1433559,0.013851717158686369
48,R-HSA-5693554,0.013762528604602267
1095,hsa.mir.96,0.013734900192939676
954,hsa.mir.5685,0.013677576342597603
532,R-HSA-202430,0.013666491798358039
680,hsa.mir.20b,0.013616837243607733
138,R-HSA-2028269,0.013499707994269557
49,R-HSA-5693568,0.013452056893147529
333,R-HSA-6788467,0.013449920814891811
159,R-HSA-5696394,0.013434024013986346
685,hsa.mir.2115,0.013418578507844359
499,R-HSA-72764,0.01334467321052216
563,R-HSA-156590,0.013314752404694446
339,R-HSA-211981,0.01326310569740599
368,R-HSA-2033519,0.01302907972400135
678,hsa.mir.205,0.012950797853482071
513,R-HSA-2024096,0.012893666316522286
55,R-HSA-5617472,0.012862573564052581
103,R-HSA-375165,0.012775948724192859
290,R-HSA-174048,0.012765255729900673
309,R-HSA-1368108,0.012748707785940496
29,R-HSA-983712,0.012611431908007944
167,R-HSA-392517,0.012611321471922565
126,R-HSA-5674135,0.012547082791861612
60,R-HSA-1236382,0.012539363227915601
281,R-HSA-164378,0.012508450610330329
119,R-HSA-4086398,0.012506823060102762
580,R-HSA-5358752,0.012480553101486293
291,R-HSA-174084,0.012467588100189459
323,R-HSA-69656,0.012463568673556438
237,R-HSA-445989,0.012427844278026895
448,R-HSA-3301854,0.012285980187371023
653,hsa.mir.15a,0.01228101344575407
97,R-HSA-1257604,0.012160487844721502
213,R-HSA-2132295,0.012139094328449573
195,R-HSA-167246,0.012138360519893468
242,R-HSA-2173788,0.012045536616351455
37,R-HSA-5693607,0.012032564413966612
452,R-HSA-162710,0.011964560449996497
326,R-HSA-68877,0.011876623406424187
882,hsa.mir.4746,0.011864974168420304
619,hsa.mir.1270,0.011833602460683323
123,R-HSA-114608,0.011805725531303324
790,hsa.mir.374c,0.011782023066480178
111,R-HSA-5621575,0.01178104590595467
