,features,importance_vals
228,R-HSA-2871837,0.021410084486124106
342,R-HSA-2162123,0.021093320166692138
1,R-HSA-418594,0.020915945381420897
455,R-HSA-912526,0.020654178996337577
213,R-HSA-2132295,0.017484640150214545
247,R-HSA-3769402,0.01684776418376714
145,R-HSA-6782315,0.015390812451951206
215,R-HSA-983189,0.015161591413852876
144,R-HSA-3108214,0.015112081186452997
95,R-HSA-114604,0.015091072425129824
128,R-HSA-1482801,0.015086619404610247
97,R-HSA-1257604,0.01506506858713692
5,R-HSA-2565942,0.015042366765555926
88,R-HSA-202733,0.014885401984502096
556,R-HSA-69300,0.014721956464054529
52,R-HSA-380108,0.014618699643615401
268,R-HSA-202433,0.014495132587253465
387,R-HSA-449147,0.014303750120307086
430,R-HSA-166016,0.014207035444997018
421,R-HSA-933541,0.014180330500239506
311,R-HSA-2129379,0.014167076097655808
214,R-HSA-194840,0.014099179413169622
324,R-HSA-2500257,0.013591647759312764
226,R-HSA-2122947,0.013526313946349545
60,R-HSA-1236382,0.013367373837972991
446,R-HSA-168276,0.012619155713473447
211,R-HSA-1632852,0.012557884734123946
345,R-HSA-5389840,0.01221156605926808
433,R-HSA-1592389,0.011931531471782364
501,R-HSA-437239,0.01181754554010695
312,R-HSA-174800,0.011756297541724052
395,R-HSA-909733,0.01131910937550856
580,R-HSA-5358752,0.011130181836542762
472,R-HSA-68827,0.0110753599126474
152,R-HSA-181430,0.011054945978830801
68,R-HSA-390471,0.011037996542145266
569,R-HSA-5099900,0.010970101854763926
136,R-HSA-4419969,0.010914375642314553
538,R-HSA-389948,0.010905714453219844
320,R-HSA-204005,0.010675316739652772
196,R-HSA-167287,0.010568329394081956
532,R-HSA-202430,0.010385500029078685
338,R-HSA-5620916,0.010377086607622914
333,R-HSA-6788467,0.010314611585854436
323,R-HSA-69656,0.01022082616807893
118,R-HSA-418597,0.010116648200782946
282,R-HSA-432040,0.010013376677816268
111,R-HSA-5621575,0.00993318209948484
448,R-HSA-3301854,0.009900657172838691
105,R-HSA-389513,0.009880416746600531
329,R-HSA-2022870,0.00978808084561024
234,R-HSA-5684264,0.009732588648621459
561,R-HSA-5223345,0.009672992636988056
38,R-HSA-5693616,0.009599931304110213
117,R-HSA-400042,0.009349486058126785
294,R-HSA-174184,0.009289889858628157
208,R-HSA-76042,0.009212254299091
257,R-HSA-936440,0.009160363874252652
350,R-HSA-114508,0.00904090205745888
396,R-HSA-2514859,0.0089958619200479
447,R-HSA-180910,0.008835436405497603
471,R-HSA-5658442,0.008828280024899868
225,R-HSA-202424,0.00879212254239974
57,R-HSA-983695,0.00875305215777189
85,R-HSA-6782135,0.008636939092975809
127,R-HSA-1482788,0.008549425446544775
37,R-HSA-5693607,0.008534797604079358
223,R-HSA-187577,0.008501941367430845
43,R-HSA-72163,0.008461521546705627
50,R-HSA-5693579,0.008435306047394987
510,R-HSA-936964,0.008422200896893628
217,R-HSA-166208,0.008273264114977792
456,R-HSA-1482922,0.008261178045067936
132,R-HSA-381340,0.008256505899244076
549,R-HSA-354194,0.008251690178985882
143,R-HSA-499943,0.008195436499227072
426,R-HSA-4641263,0.008158987393035205
509,R-HSA-352230,0.008097735546907642
464,R-HSA-180585,0.008029305020463652
524,R-HSA-389957,0.007963273086061236
151,R-HSA-181429,0.007852250624855514
512,R-HSA-937072,0.007845582868903876
516,R-HSA-69205,0.007804252973000985
346,R-HSA-5419276,0.0077684329974727
517,R-HSA-166058,0.007737095058113255
6,R-HSA-380259,0.007715560657234164
304,R-HSA-1912408,0.007697582860200783
44,R-HSA-72187,0.007625187593221199
327,R-HSA-1483191,0.0076135389143018985
123,R-HSA-114608,0.007603192176029552
153,R-HSA-210500,0.007592867596722499
79,R-HSA-3214847,0.0075854817403887866
424,R-HSA-3000157,0.007531084375223145
269,R-HSA-2029482,0.007517263899499085
259,R-HSA-5668541,0.007488113401341252
432,R-HSA-166663,0.007476365177135449
3,R-HSA-418555,0.007463010217226156
14,R-HSA-1474228,0.007458134001426515
92,R-HSA-375276,0.007337411825428717
326,R-HSA-68877,0.007313476916897344
390,R-HSA-170822,0.007277620379318251
347,R-HSA-430039,0.0072556299246207346
394,R-HSA-379726,0.0071678936229727696
250,R-HSA-977068,0.0070522420038469135
417,R-HSA-1855204,0.007042900646629277
548,R-HSA-354192,0.007033780219098844
389,R-HSA-5423646,0.0069555865000438645
467,R-HSA-350562,0.006927124281355645
246,R-HSA-975957,0.006921076753314992
39,R-HSA-6783310,0.006873012558680784
11,R-HSA-5576893,0.006776796987887792
146,R-HSA-5358346,0.006673127626709174
174,R-HSA-73772,0.006666940420691389
242,R-HSA-2173788,0.00664908145859954
237,R-HSA-445989,0.006636114257998997
503,R-HSA-1660661,0.006632193099976575
142,R-HSA-179409,0.00662828910339158
544,R-HSA-373076,0.006625123154517496
290,R-HSA-174048,0.006556717232742812
166,R-HSA-6784531,0.006550255373804248
15,R-HSA-5173214,0.00653659326271736
94,R-HSA-456926,0.00653130704042269
289,R-HSA-141430,0.006480049526289804
554,R-HSA-68867,0.006418570242094575
180,R-HSA-76061,0.006403089328932765
74,R-HSA-212300,0.0063534483534022
183,R-HSA-112382,0.006282320273471669
574,R-HSA-3322077,0.006237290559583926
542,R-HSA-418217,0.006219625076437296
322,R-HSA-69273,0.006163733523105747
410,R-HSA-5693571,0.006144554938655347
514,R-HSA-3000170,0.006137655186321354
276,R-HSA-163560,0.006070207075390499
519,R-HSA-390522,0.005996241062093759
229,R-HSA-2894862,0.005951956765711657
476,R-HSA-69481,0.005938727451575687
576,R-HSA-5339716,0.005914570320092025
507,R-HSA-3232118,0.005843345863613649
262,R-HSA-975956,0.005832385787798557
295,R-HSA-176407,0.005798889824031903
479,R-HSA-156711,0.005789326202439042
49,R-HSA-5693568,0.00573715313905268
148,R-HSA-5678895,0.005725827987043885
313,R-HSA-418990,0.005723430188700149
209,R-HSA-77075,0.00569449268601602
412,R-HSA-2029485,0.005683911056530632
1036,hsa.mir.6793,0.005596422019298188
330,R-HSA-3560783,0.0055767136358190325
336,R-HSA-2022090,0.005571602535983402
124,R-HSA-381676,0.00556446451566444
266,R-HSA-2672351,0.005550854114553658
200,R-HSA-674695,0.005544897335057613
278,R-HSA-193368,0.005485757843998727
