,features,importance_vals
268,R-HSA-202433,0.03579963867436163
88,R-HSA-202733,0.029402138269506394
575,R-HSA-1251985,0.02601676054444397
395,R-HSA-909733,0.022874788567169162
113,R-HSA-416482,0.021856812568876192
52,R-HSA-380108,0.0200795071630273
310,R-HSA-1660662,0.01964170771127101
136,R-HSA-4419969,0.019482180128979964
215,R-HSA-983189,0.018323409169970547
569,R-HSA-5099900,0.01806996944877028
281,R-HSA-164378,0.01742263392894529
105,R-HSA-389513,0.017235333871794864
430,R-HSA-166016,0.01697681540506892
237,R-HSA-445989,0.016491411354072626
502,R-HSA-168928,0.01577643985991017
321,R-HSA-5694530,0.015599709532107226
228,R-HSA-2871837,0.015444715693010948
532,R-HSA-202430,0.0152376967894088
100,R-HSA-2424491,0.01520305724145146
236,R-HSA-1810476,0.015100748657278017
170,R-HSA-3214815,0.014736794867149001
53,R-HSA-2172127,0.014635120657912922
572,R-HSA-3000480,0.014357237410149538
4,R-HSA-1442490,0.013414293337846175
387,R-HSA-449147,0.0133288934052689
420,R-HSA-912694,0.012978870263905264
27,R-HSA-77387,0.0129060476628365
218,R-HSA-380972,0.012889061818132177
324,R-HSA-2500257,0.012758539462947738
455,R-HSA-912526,0.012645146552240477
238,R-HSA-933542,0.012502246527692478
258,R-HSA-5669034,0.012493323584640165
494,R-HSA-2453902,0.012189387658218039
449,R-HSA-4570464,0.011690246576908975
550,R-HSA-372708,0.011594558874203359
424,R-HSA-3000157,0.01155173781036865
336,R-HSA-2022090,0.011315053473517765
330,R-HSA-3560783,0.011276855902833631
87,R-HSA-5693565,0.011219329776940868
150,R-HSA-3214841,0.01086660063566569
1,R-HSA-418594,0.010813236932153813
217,R-HSA-166208,0.010804349661921151
259,R-HSA-5668541,0.010666021805081981
269,R-HSA-2029482,0.010652755436603911
549,R-HSA-354194,0.010639442731335293
303,R-HSA-445355,0.010601960699423216
107,R-HSA-3928664,0.0105662443023175
137,R-HSA-983231,0.01047023272549268
446,R-HSA-168276,0.010433655169472332
537,R-HSA-202427,0.010423456151529535
514,R-HSA-3000170,0.010333429824968335
135,R-HSA-975634,0.010283078485517762
506,R-HSA-186763,0.01015227439114824
342,R-HSA-2162123,0.009975842133862899
327,R-HSA-1483191,0.009968343046493829
145,R-HSA-6782315,0.009956579591962509
447,R-HSA-180910,0.009921448100358247
345,R-HSA-5389840,0.009682224995922297
317,R-HSA-3371571,0.00966992212808691
469,R-HSA-4608870,0.009652699169237167
