,features,importance_vals
514,R-HSA-3000170,0.04846554385501804
4,R-HSA-1442490,0.03579055750276893
330,R-HSA-3560783,0.035568763474584555
548,R-HSA-354192,0.03386503537883982
424,R-HSA-3000157,0.03264672031160444
307,R-HSA-5687128,0.030165041011350695
319,R-HSA-1650814,0.028239835960557683
43,R-HSA-72163,0.02743482828285778
88,R-HSA-202733,0.027360475087771192
355,R-HSA-1566948,0.02343539891153341
7,R-HSA-380270,0.02292600713291904
56,R-HSA-198933,0.022831488826923305
311,R-HSA-2129379,0.021874062060196594
522,R-HSA-190861,0.021693290486582556
173,R-HSA-73762,0.0215410391864134
559,R-HSA-186797,0.021260141146485695
416,R-HSA-1660499,0.02013978245551698
352,R-HSA-3000171,0.019910184810869397
332,R-HSA-4420332,0.01985667249944527
293,R-HSA-174178,0.019506907323375344
509,R-HSA-352230,0.018863525101332924
324,R-HSA-2500257,0.018448027427766647
150,R-HSA-3214841,0.018361279908567667
329,R-HSA-2022870,0.01817503773869248
268,R-HSA-202433,0.017991497984621675
494,R-HSA-2453902,0.01791768926777877
12,R-HSA-5620912,0.0178390894504264
97,R-HSA-1257604,0.017498289726208895
189,R-HSA-167162,0.01706607035943307
569,R-HSA-5099900,0.016897917960304768
151,R-HSA-181429,0.01680012886179611
436,R-HSA-383280,0.0167198240950529
523,R-HSA-380320,0.016464040775317698
214,R-HSA-194840,0.016440514366204296
52,R-HSA-380108,0.016110381002508802
136,R-HSA-4419969,0.015948169183538995
208,R-HSA-76042,0.0158660229697125
145,R-HSA-6782315,0.015542547952500173
49,R-HSA-5693568,0.015496528225776273
443,R-HSA-2979096,0.0151457663171459
571,R-HSA-373752,0.015016574638939345
560,R-HSA-3299685,0.014877485608449205
317,R-HSA-3371571,0.014539639445138164
23,R-HSA-917937,0.014466776813369506
550,R-HSA-372708,0.01439204620575765
119,R-HSA-4086398,0.014349683901236858
54,R-HSA-429947,0.014312908370047808
89,R-HSA-216083,0.014111261391371954
336,R-HSA-2022090,0.013842580547461694
83,R-HSA-6781823,0.01376685681490926
434,R-HSA-2151201,0.01359347624820657
502,R-HSA-168928,0.013502268527518027
159,R-HSA-5696394,0.013474019978821162
304,R-HSA-1912408,0.013427385535032954
566,R-HSA-428540,0.013366888645105063
121,R-HSA-5610787,0.013148172576329671
415,R-HSA-5218921,0.013145926362485625
183,R-HSA-112382,0.013085225971444743
259,R-HSA-5668541,0.012983262087218464
313,R-HSA-418990,0.012939932788722217
444,R-HSA-419037,0.012795730446523521
427,R-HSA-5620922,0.012724575450847623
371,R-HSA-5654687,0.012632639234070667
323,R-HSA-69656,0.01263078024261631
303,R-HSA-445355,0.012626082743809093
298,R-HSA-176412,0.012610698537901043
195,R-HSA-167246,0.012159008482194622
93,R-HSA-416476,0.011883912524390326
235,R-HSA-69231,0.011874521935533266
14,R-HSA-1474228,0.011863522559578996
433,R-HSA-1592389,0.011832059311273043
229,R-HSA-2894862,0.01177509595057927
306,R-HSA-2559585,0.011718959317367989
544,R-HSA-373076,0.011588865418780188
240,R-HSA-400206,0.011482831449611694
412,R-HSA-2029485,0.011339250090532004
114,R-HSA-112043,0.011333332997310208
516,R-HSA-69205,0.011175218327261973
244,R-HSA-2173796,0.011153246701142053
394,R-HSA-379726,0.011121802303241566
410,R-HSA-5693571,0.011104649841909122
310,R-HSA-1660662,0.011041009671898791
153,R-HSA-210500,0.010883032783749514
279,R-HSA-163359,0.010836739054757344
439,R-HSA-450321,0.010803638886427507
350,R-HSA-114508,0.010767181966803036
294,R-HSA-174184,0.01074401301710168
426,R-HSA-4641263,0.010706206775794272
118,R-HSA-418597,0.010661532994708978
149,R-HSA-901032,0.01058223964766512
82,R-HSA-3928665,0.01057087384924671
47,R-HSA-5685942,0.0105529469474277
719,hsa.mir.3129,0.010522586535371374
167,R-HSA-392517,0.010508074119279627
79,R-HSA-3214847,0.010342824658473547
69,R-HSA-5250924,0.010318290802824776
419,R-HSA-205043,0.010268655030376977
456,R-HSA-1482922,0.010228550565661862
264,R-HSA-1660516,0.01017427905695513
44,R-HSA-72187,0.010130251729278825
215,R-HSA-983189,0.01010593746907034
18,R-HSA-194223,0.010089207160053775
94,R-HSA-456926,0.010064410774230054
387,R-HSA-449147,0.010055311747710221
247,R-HSA-3769402,0.010008885294519132
124,R-HSA-381676,0.009907136894616997
318,R-HSA-877300,0.009886474305094452
90,R-HSA-2173791,0.009816355270450003
497,R-HSA-1799339,0.009793133310158736
342,R-HSA-2162123,0.009641133491822985
453,R-HSA-392451,0.009553256275248714
281,R-HSA-164378,0.009466875061916654
182,R-HSA-76071,0.009462245243194048
283,R-HSA-389661,0.009406263662312994
446,R-HSA-168276,0.009405979773728177
354,R-HSA-5620924,0.00940455424337415
34,R-HSA-1912420,0.00928341805411037
