,features,importance_vals
215,R-HSA-983189,0.015168237928737654
516,R-HSA-69205,0.013831865666052181
325,R-HSA-5663220,0.013041595120739657
26,R-HSA-381038,0.012888316364624189
133,R-HSA-422085,0.012476376179256477
52,R-HSA-380108,0.012425741848128382
479,R-HSA-156711,0.012151141270878725
137,R-HSA-983231,0.012106192650971934
307,R-HSA-5687128,0.011763784446520731
414,R-HSA-418457,0.011513185375806643
293,R-HSA-174178,0.011497411492164246
88,R-HSA-202733,0.011495309159508907
387,R-HSA-449147,0.011454068267485127
439,R-HSA-450321,0.011350187816715334
433,R-HSA-1592389,0.011144922696985304
453,R-HSA-392451,0.010978544372992474
556,R-HSA-69300,0.010976528866158332
326,R-HSA-68877,0.010884742392518092
16,R-HSA-389977,0.010833246004767715
427,R-HSA-5620922,0.01024823483399814
37,R-HSA-5693607,0.01004804972675629
493,R-HSA-68962,0.009997578404145314
218,R-HSA-380972,0.009962834842735902
329,R-HSA-2022870,0.00985508124151238
338,R-HSA-5620916,0.009813186560350004
314,R-HSA-5576892,0.009711090497548867
345,R-HSA-5389840,0.00953609687887365
132,R-HSA-381340,0.009457614233565437
145,R-HSA-6782315,0.009210256667720386
366,R-HSA-5362517,0.009145464324901695
309,R-HSA-1368108,0.009031129518734814
281,R-HSA-164378,0.009017994530149736
113,R-HSA-416482,0.008967649182050081
122,R-HSA-5632684,0.008948591912339907
515,R-HSA-113510,0.008921702840016223
62,R-HSA-182971,0.008831651105938363
471,R-HSA-5658442,0.008802056944477953
422,R-HSA-70614,0.008652288000685076
149,R-HSA-901032,0.008629815157910344
142,R-HSA-179409,0.008613238580874167
306,R-HSA-2559585,0.008556992342055309
44,R-HSA-72187,0.008474212223372888
82,R-HSA-3928665,0.00818700352770975
575,R-HSA-1251985,0.008104305079905316
276,R-HSA-163560,0.007922814331832341
213,R-HSA-2132295,0.007894752517458983
546,R-HSA-210993,0.007797719659138238
310,R-HSA-1660662,0.007658250370150199
542,R-HSA-418217,0.007615876477502752
13,R-HSA-5673001,0.007599808547529392
555,R-HSA-69298,0.007559597629442578
321,R-HSA-5694530,0.007520850682485616
123,R-HSA-114608,0.0074951851213700136
38,R-HSA-5693616,0.0074947418701776765
489,R-HSA-5656121,0.007488515529857977
262,R-HSA-975956,0.007466122107070987
208,R-HSA-76042,0.007440350015021977
154,R-HSA-212676,0.007360353291223873
167,R-HSA-392517,0.0073542134629678915
159,R-HSA-5696394,0.007303465267104911
93,R-HSA-416476,0.007278031383029884
33,R-HSA-210991,0.007268627063203894
211,R-HSA-1632852,0.007195615195669234
430,R-HSA-166016,0.007173710581264458
264,R-HSA-1660516,0.007127870526019251
315,R-HSA-5576894,0.007093453418056015
60,R-HSA-1236382,0.0069971466629067435
548,R-HSA-354192,0.006894447294880593
237,R-HSA-445989,0.006845185242709704
223,R-HSA-187577,0.006545537564379629
395,R-HSA-909733,0.006524563113853219
4,R-HSA-1442490,0.0065090220718411725
236,R-HSA-1810476,0.006496192837366834
541,R-HSA-392851,0.006455257287016138
473,R-HSA-68949,0.0063167152492678725
304,R-HSA-1912408,0.006289373807812808
496,R-HSA-156902,0.006261047889638576
462,R-HSA-5675221,0.006218972636706894
102,R-HSA-373753,0.0062059592641890045
164,R-HSA-203927,0.006183799243171961
294,R-HSA-174184,0.006114676436300215
268,R-HSA-202433,0.00605942494046758
105,R-HSA-389513,0.0059938384147244506
300,R-HSA-2559582,0.005959114529250655
282,R-HSA-432040,0.00594483322744054
299,R-HSA-2467813,0.005935284638544544
455,R-HSA-912526,0.005920732263475657
117,R-HSA-400042,0.005820058773970231
98,R-HSA-1433557,0.005745057070234907
225,R-HSA-202424,0.00572800630605343
347,R-HSA-430039,0.005727418028718603
19,R-HSA-382556,0.0057250998495146635
332,R-HSA-4420332,0.005692561327450676
53,R-HSA-2172127,0.0056885190554748985
367,R-HSA-109704,0.005687792090175208
193,R-HSA-167242,0.005667273019207641
421,R-HSA-933541,0.005654374490986811
521,R-HSA-190840,0.005626407096860931
43,R-HSA-72163,0.005595727177169465
226,R-HSA-2122947,0.005565402648062445
36,R-HSA-5685938,0.005555069981928682
49,R-HSA-5693568,0.005508933112723753
12,R-HSA-5620912,0.005462742327872547
32,R-HSA-936837,0.00545896740984972
434,R-HSA-2151201,0.005449268494485296
346,R-HSA-5419276,0.005379798343710718
266,R-HSA-2672351,0.005355876546236687
183,R-HSA-112382,0.005317388889670838
267,R-HSA-3772470,0.005296428657748038
503,R-HSA-1660661,0.005281935560633428
260,R-HSA-5676594,0.005253940057591535
283,R-HSA-389661,0.00522532682876772
214,R-HSA-194840,0.005220030943019083
280,R-HSA-163615,0.005163038407990825
166,R-HSA-6784531,0.005157352739388443
139,R-HSA-2022928,0.005130325083737262
337,R-HSA-977606,0.005066491953184596
550,R-HSA-372708,0.005059212091582594
220,R-HSA-1170546,0.005051881207346014
532,R-HSA-202430,0.005041282297970611
319,R-HSA-1650814,0.005016417965525761
382,R-HSA-5654710,0.0049994098508614115
288,R-HSA-70263,0.004970126334228553
128,R-HSA-1482801,0.0049529193656053395
340,R-HSA-211935,0.004912032483916846
28,R-HSA-917977,0.004907438156369608
10,R-HSA-442982,0.004854988189763389
205,R-HSA-73779,0.004854503385686258
446,R-HSA-168276,0.004847673416952603
323,R-HSA-69656,0.004829962842486566
354,R-HSA-5620924,0.00482946762786014
571,R-HSA-373752,0.00480742191124591
180,R-HSA-76061,0.004795221976673929
484,R-HSA-5625900,0.004771672917086107
569,R-HSA-5099900,0.004769070811053097
138,R-HSA-2028269,0.004750397823372623
290,R-HSA-174048,0.004741166918029194
89,R-HSA-216083,0.004727472575323191
124,R-HSA-381676,0.004724863597439253
242,R-HSA-2173788,0.004723433256967838
311,R-HSA-2129379,0.004707516472699354
410,R-HSA-5693571,0.004700112340215128
595,hsa.mir.10b,0.004621999803111976
41,R-HSA-109688,0.004612218474321707
135,R-HSA-975634,0.004584296120301587
219,R-HSA-193648,0.0045749795710435135
161,R-HSA-165054,0.004544401731982362
536,R-HSA-75105,0.004506718663906213
119,R-HSA-4086398,0.004488581557125144
240,R-HSA-400206,0.004480722529333434
419,R-HSA-205043,0.004468424524129659
40,R-HSA-69473,0.004464815110986819
327,R-HSA-1483191,0.0044610305243986655
322,R-HSA-69273,0.004444747614033986
481,R-HSA-5627117,0.004440416890429333
71,R-HSA-450385,0.0044354079379991165
156,R-HSA-1445148,0.0044346223302636645
483,R-HSA-416572,0.004433640222850954
378,R-HSA-5655253,0.004384906607724588
11,R-HSA-5576893,0.004380742231151089
2,R-HSA-975298,0.004356428725004662
259,R-HSA-5668541,0.004341148394660195
330,R-HSA-3560783,0.004333612843693118
68,R-HSA-390471,0.004320165966055356
61,R-HSA-1433559,0.0043174579935293875
56,R-HSA-198933,0.004315245044708717
747,hsa.mir.3200,0.004310597853782383
547,R-HSA-5683826,0.004306323600467295
535,R-HSA-446193,0.0042964271546043166
95,R-HSA-114604,0.004259426576609258
199,R-HSA-5601884,0.004237982996419305
143,R-HSA-499943,0.004216354631607828
289,R-HSA-141430,0.004204412584658712
352,R-HSA-3000171,0.00419944320252398
253,R-HSA-2032785,0.004180475622706581
6,R-HSA-380259,0.004163458592083771
351,R-HSA-196757,0.004139132944546872
636,hsa.mir.139,0.0041282277426944345
150,R-HSA-3214841,0.0041272482389467765
1,R-HSA-418594,0.004111263686645543
443,R-HSA-2979096,0.004089740717993067
502,R-HSA-168928,0.004080353359220226
431,R-HSA-1236974,0.0040710620398749595
248,R-HSA-2022854,0.004056815075746272
355,R-HSA-1566948,0.00405552528478438
246,R-HSA-975957,0.00405425823679252
499,R-HSA-72764,0.004014901837072102
827,hsa.mir.4444.1,0.004009712357360513
313,R-HSA-418990,0.003996786522329785
480,R-HSA-5625740,0.003978433580778073
494,R-HSA-2453902,0.003975631085340865
552,R-HSA-156588,0.003967921183211729
91,R-HSA-420029,0.003966600484600349
90,R-HSA-2173791,0.003960242194589228
562,R-HSA-1234176,0.003949789510734263
48,R-HSA-5693554,0.00393966258612636
621,hsa.mir.1277,0.003936882480047643
83,R-HSA-6781823,0.003929427362818387
941,hsa.mir.548q,0.003926028954156209
505,R-HSA-1839117,0.003923203694266703
341,R-HSA-211976,0.0039155105967074635
25,R-HSA-1222556,0.003900570204568794
188,R-HSA-167161,0.003877057877398329
275,R-HSA-4641262,0.003873460364084167
469,R-HSA-4608870,0.003873146136829746
140,R-HSA-6799198,0.003868321387162723
92,R-HSA-375276,0.0038544838939560577
436,R-HSA-383280,0.0038481491167021886
194,R-HSA-167243,0.0038327552760893014
118,R-HSA-418597,0.0038253234219155275
417,R-HSA-1855204,0.0038114616213715635
172,R-HSA-427413,0.003802713319892064
371,R-HSA-5654687,0.0037983689722022973
174,R-HSA-73772,0.0037795686571189435
121,R-HSA-5610787,0.0037783986145586822
21,R-HSA-2142691,0.00375728937855456
57,R-HSA-983695,0.0037379395496100185
761,hsa.mir.33b,0.003727772448619362
278,R-HSA-193368,0.0037041211110772567
125,R-HSA-5626467,0.00367851212824462
573,R-HSA-196299,0.003657686535225366
447,R-HSA-180910,0.0036537676743319024
115,R-HSA-202040,0.003652161976148136
318,R-HSA-877300,0.0036464493708626834
94,R-HSA-456926,0.0036297646013917985
785,hsa.mir.3682,0.00362970831200073
251,R-HSA-606279,0.0036279797667521053
459,R-HSA-1296072,0.0036116467040847055
1054,hsa.mir.6854,0.0035912556535095063
151,R-HSA-181429,0.0035828891366691097
152,R-HSA-181430,0.003574487155128736
134,R-HSA-452723,0.0035670752938040096
407,R-HSA-977225,0.003560439460925409
256,R-HSA-5357956,0.003548559504051809
1024,hsa.mir.6755,0.0035327925768979186
308,R-HSA-1368082,0.003529797621886246
210,R-HSA-162588,0.003484131761770186
464,R-HSA-180585,0.0034836150603950954
806,hsa.mir.3922,0.0034682606751175625
389,R-HSA-5423646,0.003440008464967832
682,hsa.mir.210,0.0034367661840224175
257,R-HSA-936440,0.0034180983863188884
324,R-HSA-2500257,0.003412322924268665
277,R-HSA-70895,0.003369043791171862
