,features,importance_vals
264,ENSG00000103126,0.03589345385655179
162,ENSG00000082701,0.02215842375484499
1921,ENSG00000134480,0.022003557369171176
496,ENSG00000125450,0.021703378547681496
923,ENSG00000163882,0.021478105728165248
2727,hsa.mir.1249,0.02045372074469924
3206,hsa.mir.93,0.019964631324910442
209,ENSG00000095319,0.019485397509415633
1705,ENSG00000113569,0.019265992247674148
3150,hsa.mir.6777,0.018572273909085196
987,ENSG00000166851,0.017829383802036317
2960,hsa.mir.452,0.01731523054331774
2879,hsa.mir.33b,0.01639798150077695
3064,hsa.mir.551b,0.016330993731098715
3207,hsa.mir.934,0.016066096182039472
3107,hsa.mir.642a,0.016029549657541792
2135,ENSG00000154589,0.015587772477883845
2990,hsa.mir.4724,0.015578193463152274
3128,hsa.mir.664a,0.01482323721575085
3126,hsa.mir.658,0.014739470082131447
3102,hsa.mir.628,0.014619884467392694
1653,ENSG00000108821,0.014476197624171619
2733,hsa.mir.126,0.014379156806971877
2799,hsa.mir.21,0.014316932431611348
2779,hsa.mir.187,0.01423707103702327
3067,hsa.mir.5581,0.01423068265139591
2822,hsa.mir.29c,0.014179967998643406
1708,ENSG00000113712,0.014161593528151571
840,ENSG00000155561,0.013948940865625446
3045,hsa.mir.511,0.013947046761459206
3168,hsa.mir.6833,0.013813049313030205
2821,hsa.mir.29b.2,0.013808900642325171
2820,hsa.mir.29b.1,0.01368138523263042
3098,hsa.mir.616,0.01346698381996248
2511,ENSG00000185507,0.013401512348646066
2874,hsa.mir.331,0.013376062864408596
1954,ENSG00000136869,0.013345801723116892
2787,hsa.mir.193b,0.013165636294579598
2635,ENSG00000213780,0.013156717743841
393,ENSG00000115414,0.013090359954512678
2534,ENSG00000187288,0.012970251265214757
3208,hsa.mir.935,0.012942084134847391
370,ENSG00000113578,0.01293230726820184
1993,ENSG00000139144,0.012888566150795668
1569,ENSG00000102900,0.012744589044013993
2755,hsa.mir.142,0.012687873957038392
1404,ENSG00000060069,0.012683901127456921
3085,hsa.mir.577,0.01266949589480646
502,ENSG00000126067,0.012458455519081327
2753,hsa.mir.135b,0.012410604250617326
2076,ENSG00000147133,0.012330869206198258
801,ENSG00000151849,0.01215029529412277
2885,hsa.mir.3607,0.012086202015671005
2741,hsa.mir.1284,0.01204643792792922
1518,ENSG00000093000,0.011929389819852077
2948,hsa.mir.4453,0.0119288825600961
3099,hsa.mir.618,0.01191673961118795
1919,ENSG00000134443,0.011910417844192125
601,ENSG00000134962,0.011778812617282029
2720,hsa.mir.1228,0.011580192138499115
2754,hsa.mir.139,0.011559669574889995
2832,hsa.mir.31,0.011498936787902495
3117,hsa.mir.6511b.1,0.011437337935931283
2760,hsa.mir.147b,0.011418580010067672
2205,ENSG00000160654,0.011342121838824824
2794,hsa.mir.203b,0.011309783122705995
2877,hsa.mir.339,0.011259654092937126
391,ENSG00000115267,0.01102891854257905
2951,hsa.mir.4484,0.010975797268911265
2737,hsa.mir.1270,0.010947761948336847
3124,hsa.mir.655,0.01091371564543806
3051,hsa.mir.548au,0.010909869899041951
1574,ENSG00000103035,0.010878674684208818
1310,ENSG00000239264,0.010836235674541967
2784,hsa.mir.191,0.01064720722293714
1414,ENSG00000064995,0.010554207511158892
2876,hsa.mir.338,0.0104262060491601
2406,ENSG00000173894,0.010317634824605192
63,ENSG00000047410,0.010280672056833282
